id,Name,MedianIncomeDollars
0500000US13221,"Oglethorpe County, Georgia",44927
0500000US13223,"Paulding County, Georgia",66467
0500000US13225,"Peach County, Georgia",42802
0500000US13227,"Pickens County, Georgia",64512
0500000US13229,"Pierce County, Georgia",44167
0500000US13231,"Pike County, Georgia",58765
0500000US13233,"Polk County, Georgia",43491
0500000US13235,"Pulaski County, Georgia",38770
0500000US13237,"Putnam County, Georgia",51245
0500000US13239,"Quitman County, Georgia",30000
0500000US13241,"Rabun County, Georgia",40902
0500000US13243,"Randolph County, Georgia",30914
0500000US13245,"Richmond County, Georgia",40644
0500000US13247,"Rockdale County, Georgia",57049
0500000US13249,"Schley County, Georgia",41276
0500000US13251,"Screven County, Georgia",37588
0500000US13253,"Seminole County, Georgia",34338
0500000US13255,"Spalding County, Georgia",42671
0500000US13257,"Stephens County, Georgia",43416
0500000US13259,"Stewart County, Georgia",25385
0500000US13261,"Sumter County, Georgia",36205
0500000US13263,"Talbot County, Georgia",36213
0500000US13265,"Taliaferro County, Georgia",31797
0500000US13267,"Tattnall County, Georgia",38034
0500000US13269,"Taylor County, Georgia",33442
0500000US13271,"Telfair County, Georgia",30288
0500000US13273,"Terrell County, Georgia",38015
0500000US13275,"Thomas County, Georgia",40112
0500000US13277,"Tift County, Georgia",42790
0500000US13279,"Toombs County, Georgia",36575
0500000US13281,"Towns County, Georgia",43927
0500000US13283,"Treutlen County, Georgia",37606
0500000US13285,"Troup County, Georgia",43850
0500000US13287,"Turner County, Georgia",38341
0500000US13289,"Twiggs County, Georgia",33037
0500000US13291,"Union County, Georgia",44978
0500000US13293,"Upson County, Georgia",36529
0500000US13295,"Walker County, Georgia",43650
0500000US13297,"Walton County, Georgia",58370
0500000US13299,"Ware County, Georgia",39887
0500000US13301,"Warren County, Georgia",34730
0500000US13303,"Washington County, Georgia",38092
0500000US13305,"Wayne County, Georgia",44869
0500000US13307,"Webster County, Georgia",35755
0500000US13309,"Wheeler County, Georgia",27626
0500000US13311,"White County, Georgia",46288
0500000US13313,"Whitfield County, Georgia",46970
0500000US13315,"Wilcox County, Georgia",36077
0500000US13317,"Wilkes County, Georgia",35106
0500000US13319,"Wilkinson County, Georgia",37583
0500000US13321,"Worth County, Georgia",46076
0500000US15001,"Hawaii County, Hawaii",59297
0500000US15003,"Honolulu County, Hawaii",82906
0500000US15005,"Kalawao County, Hawaii",61875
0500000US15007,"Kauai County, Hawaii",78482
0500000US15009,"Maui County, Hawaii",77117
0500000US16001,"Ada County, Idaho",63137
0500000US16003,"Adams County, Idaho",45319
0500000US16005,"Bannock County, Idaho",49739
0500000US16007,"Bear Lake County, Idaho",54265
0500000US16009,"Benewah County, Idaho",46507
0500000US16011,"Bingham County, Idaho",51288
0500000US16013,"Blaine County, Idaho",51968
0500000US16015,"Boise County, Idaho",53942
0500000US16017,"Bonner County, Idaho",48710
0500000US16019,"Bonneville County, Idaho",56609
0500000US16021,"Boundary County, Idaho",43507
0500000US16023,"Butte County, Idaho",42250
0500000US16025,"Camas County, Idaho",38393
0500000US16027,"Canyon County, Idaho",49143
0500000US16029,"Caribou County, Idaho",59611
0500000US16031,"Cassia County, Idaho",50918
0500000US16033,"Clark County, Idaho",35341
0500000US16035,"Clearwater County, Idaho",42348
0500000US16037,"Custer County, Idaho",39957
0500000US16039,"Elmore County, Idaho",46715
0500000US16041,"Franklin County, Idaho",56613
0500000US16043,"Fremont County, Idaho",53311
0500000US16045,"Gem County, Idaho",43001
0500000US16047,"Gooding County, Idaho",48638
0500000US16049,"Idaho County, Idaho",39113
0500000US16051,"Jefferson County, Idaho",60162
0500000US16053,"Jerome County, Idaho",49306
0500000US16055,"Kootenai County, Idaho",54457
0500000US16057,"Latah County, Idaho",45466
0500000US16059,"Lemhi County, Idaho",37921
0500000US16061,"Lewis County, Idaho",41326
0500000US16063,"Lincoln County, Idaho",48222
0500000US16065,"Madison County, Idaho",36031
0500000US16067,"Minidoka County, Idaho",50663
0500000US16069,"Nez Perce County, Idaho",54174
0500000US16071,"Oneida County, Idaho",51058
0500000US16073,"Owyhee County, Idaho",40430
0500000US16075,"Payette County, Idaho",50289
